id,Details,NDVI_TAMU,NDVI_WSU,Yield
161,HiRain_SWW_SP,0.965597111,0.70772543,112
162,HiRain_SWW_SP,0.946425511,0.594053196,93.28
163,HiRain_SWW_SP,0.937718631,0.556437028,90.816
164,HiRain_SWW_SP,0.952352107,0.635262116,92.096
165,HiRain_SWW_SP,0.948901622,0.60696855,87.744
166,HiRain_SWW_SP,0.929559602,0.535175601,78.752
167,HiRain_SWW_SP,0.93986351,0.558416265,73.792
168,HiRain_SWW_SP,0.920782704,0.487122462,76.576
169,HiRain_SWW_SP,0.963385095,0.684688927,115.2
170,HiRain_SWW_SP,0.95958471,0.66214925,98.944
171,HiRain_SWW_SP,0.934492294,0.534938655,106.336
172,HiRain_SWW_SP,0.961199684,0.666765488,108.672
173,HiRain_SWW_SP,0.96273783,0.676653241,102.848
174,HiRain_SWW_SP,0.955954414,0.648252901,113.184
175,HiRain_SWW_SP,0.949823731,0.625280001,91.968
176,HiRain_SWW_SP,0.958832664,0.682425393,117.664
177,HiRain_SWW_SP,0.949661318,0.624065233,100.256
178,HiRain_SWW_SP,0.958908178,0.665419381,120.448
179,HiRain_SWW_SP,0.964521829,0.698052269,117.536
180,HiRain_SWW_SP,0.969189144,0.728351606,121.6
181,HiRain_SWW_SP,0.962983687,0.687214334,116.96
182,HiRain_SWW_SP,0.96296341,0.693353974,127.424
183,HiRain_SWW_SP,0.971176771,0.748619558,133.376
184,HiRain_SWW_SP,0.967551175,0.719192599,128.864
185,HiRain_SWW_SP,0.970301919,0.741520294,135.552
186,HiRain_SWW_SP,0.967621762,0.731697511,126.816
187,HiRain_SWW_SP,0.96664542,0.715256924,124.64
188,HiRain_SWW_SP,0.969835123,0.734391115,111.424
189,HiRain_SWW_SP,0.967815392,0.726977787,115.488
190,HiRain_SWW_SP,0.965535868,0.707016947,111.008
191,HiRain_SWW_SP,0.964785706,0.704208144,112.896
192,HiRain_SWW_SP,0.96410458,0.713069826,109.12
193,HiRain_SWW_SP,0.958170723,0.656602716,123.936
194,HiRain_SWW_SP,0.968580432,0.732434124,110.848
195,HiRain_SWW_SP,0.959381058,0.680045864,107.648
196,HiRain_SWW_SP,0.946676186,0.605977749,103.008
197,HiRain_SWW_SP,0.9521025,0.629901699,109.984
198,HiRain_SWW_SP,0.961338765,0.683745633,105.92
199,HiRain_SWW_SP,0.96618656,0.707825019,108.512
200,HiRain_SWW_SP,0.962182941,0.685701102,103.136
201,HiRain_SWW_SP,0.972917315,0.757792813,120.864
202,HiRain_SWW_SP,0.97111738,0.740918472,114.176
203,HiRain_SWW_SP,0.963955244,0.686269929,108.384
204,HiRain_SWW_SP,0.965111272,0.703741498,114.496
205,HiRain_SWW_SP,0.969545003,0.733516107,115.648
206,HiRain_SWW_SP,0.971968706,0.749821877,117.376
207,HiRain_SWW_SP,0.973642308,0.770299568,127.84
208,HiRain_SWW_SP,0.966739896,0.715302822,128.704
209,HiRain_SWW_SP,0.97564658,0.773253584,128.128
210,HiRain_SWW_SP,0.955776445,0.642403816,95.584
211,HiRain_SWW_SP,0.966754355,0.718324473,115.776
212,HiRain_SWW_SP,0.95899387,0.692836073,99.072
213,HiRain_SWW_SP,0.94323558,0.614002245,86.304
214,HiRain_SWW_SP,0.951931681,0.659221868,99.648
215,HiRain_SWW_SP,0.964485203,0.704105217,111.008
216,HiRain_SWW_SP,0.951352067,0.645036702,96.896
217,HiRain_SWW_SP,0.955159299,0.644235703,101.696
218,HiRain_SWW_SP,0.948181486,0.615823551,83.84
219,HiRain_SWW_SP,0.932916711,0.614898515,84.544
220,HiRain_SWW_SP,0.937842437,0.568271925,90.944
221,HiRain_SWW_SP,0.951178785,0.627309411,94.144
222,HiRain_SWW_SP,0.932367076,0.558669598,73.952
